A,B,C,D,E,F,G,H,I,J,K,L,FORECAST
0.62653644,0.779392128,0.963441006,-0.267920561,-9.37E-12,1,3236300,0.2,4070000,355398.6591,42230.09812,36571.24273,434200
0.639850783,0.768499171,0.888069673,-0.459708882,-5.07E-12,1,2781400,0.1,4070000,373941.3706,46856.55054,34102.07886,454900
0.652975776,0.757378793,0.774987706,-0.63197631,-7.73E-13,1,2483000,0,4070000,244421.4213,29304.58022,24673.99844,298400
0.665907535,0.746034286,0.628996972,-0.777407749,-1.10E-11,1,2385900,0,4070000,80078.46085,9060.895364,7960.643784,97100
0.678642233,0.734469005,0.456296764,-0.889827659,-6.73E-12,1,1564000,0,4070000,695782.5557,63101.10536,63016.33896,821900
0.691176101,0.722686375,0.264220554,-0.964462285,-2.43E-12,1,1235800,1,4070000,277636.2007,25017.79202,25546.00732,328200
0.703505432,0.710689882,0.060924588,-0.998142372,-1.27E-11,1,952600,0,4070000,245165.4246,19345.78642,18688.78894,283200
0.715626575,0.698483075,-0.144958455,-0.989437743,-8.38E-12,1,4120200,1,4270000,123104.4642,14627.83684,12667.699,150400
0.727535944,0.686069567,-0.34468604,-0.938718027,-4.09E-12,1,3586400,1,4270000,438799.5244,54983.5715,40016.90414,533800
0.739230014,0.673453032,-0.529777016,-0.848136966,2.13E-13,1,3312000,1,4270000,224762.862,26947.64347,22689.49454,274400
0.750705326,0.660637203,-0.692371754,-0.721540958,-1.00E-11,1,3192000,0.1,4270000,98964.11228,11197.81095,9838.076767,120000
0.761958482,0.647625873,-0.825565896,-0.564305725,-5.74E-12,1,2835300,0.2,4270000,301965.735,27385.52656,27348.73842,356700
0.772986154,0.634422892,-0.92370354,-0.383108041,-1.44E-12,1,2733000,0.3,4270000,86539.2545,7798.050347,7962.695152,102300
0.783785077,0.621032168,-0.982617408,-0.185642211,-1.17E-11,1,2676000,0.4,4270000,49344.73589,3893.749384,3761.514724,57000
0.794352056,0.607457663,-0.999805805,0.019706656,-7.40E-12,1,2171100,0.5,4270000,413267.5795,49106.34855,42526.07198,504900
0.804683963,0.593703393,-0.974538851,0.224218707,-3.10E-12,1,1732600,0.6,4270000,360460.0814,45167.28382,32872.63482,438500
0.814777742,0.57977343,-0.907889471,0.419209625,1.20E-12,1,1611600,0.7,4270000,99111.90343,11882.88943,10005.20714,121000
0.824630406,0.565671896,-0.802687837,0.596399393,-9.05E-12,1,1546100,0.8,4270000,54017.91129,6112.138479,5369.950235,65500
0.834239038,0.551402964,-0.66340119,0.748263898,-4.76E-12,1,1453600,0.9,4270000,78306.22509,7101.657435,7092.117476,92500
0.843600794,0.536970855,-0.495944141,0.868354426,-4.57E-13,1,1204100,1,4270000,211061.0361,19018.70539,19420.25846,249500
0.852712906,0.522379842,-0.30742752,0.9515715,-1.07E-11,1,1142100,2,4270000,53673.2215,4235.306348,4091.472156,62000
0.861572676,0.507634242,-0.10585642,0.994381425,-6.41E-12,1,3281600,0.9,3500000,363338.2423,43173.51579,37388.24193,443900
0.870177482,0.492738419,0.100209724,0.994966337,-2.11E-12,1,2700300,0.8,3500000,477845.9414,59876.26473,43577.79389,581300
0.878524778,0.47769678,0.302020603,0.953301398,-1.24E-11,1,2443900,0.7,3500000,210018.9425,25179.94091,21201.11662,256400
0.886612094,0.462513778,0.491006601,0.871155852,-8.07E-12,1,2174900,0.6,3500000,221844.5517,25101.75956,22053.68875,269000
0.894437036,0.447193905,0.659142691,0.752017894,-3.77E-12,1,1980800,0.5,3500000,164316.0896,14901.96441,14881.94597,194100
0.901997289,0.431741694,0.799289211,0.600946551,5.29E-13,1,1870200,0.4,3500000,93560.52344,8430.736739,8608.739822,110600
0.909290616,0.416161719,0.905495036,0.424356855,-9.72E-12,1,1820800,0.3,3500000,42765.43777,3374.5828,3259.979427,49400
0.916314858,0.400458589,0.973250283,0.22974744,-5.43E-12,1,1406700,0.2,3500000,338946.5333,40275.1811,34878.28562,414100
0.923067936,0.384636953,0.999677822,0.025382122,-1.13E-12,1,902600,0.1,3500000,414385.2383,51924.35068,37790.41097,504100
0.929547852,0.368701492,0.983655444,-0.180061012,-1.14E-11,1,743600,0,3500000,130237.9557,15614.70595,13147.33831,159000
0.935752689,0.352656922,0.925863516,-0.377858108,-7.08E-12,1,2888700,0,3000000,93850.96648,10619.25739,9329.776134,113800
0.941680611,0.33650799,0.828756092,-0.559609989,-2.78E-12,1,2772300,0,3000000,98538.86054,8936.572167,8924.567289,116400
0.947329862,0.320259476,0.696456703,-0.717598816,-1.30E-11,1,2658200,0,3000000,96521.2995,8697.532206,8881.168298,114100
0.952698772,0.303916189,0.534583256,-0.845115816,-8.74E-12,1,2491800,0,3000000,144052.0009,11367.01575,10980.98333,166400
0.957785751,0.287482964,0.350009481,-0.936746157,-4.44E-12,1,2033000,0,3000000,375534.0968,44622.68314,38643.22009,458800
0.962589295,0.270964664,0.150573044,-0.988598886,-1.42E-13,1,1348900,0,3000000,562350.6081,70465.08292,51284.30896,684100
0.967107981,0.254366179,-0.055257266,-0.99847215,-1.04E-11,1,1140600,0,3000000,170619.9131,20456.24685,17223.84006,208300
0.971340473,0.23769242,-0.258741154,-0.965946694,-6.10E-12,1,1077100,0,3000000,52368.50941,5925.508297,5205.982289,63500
0.975285517,0.22094832,-0.451237961,-0.892403665,-1.80E-12,1,763900,0,3000000,265140.6454,24045.8282,24013.52642,313200
0.978941947,0.204138836,-0.624573582,-0.780965967,-1.21E-11,1,589900,0,3000000,147192.8669,13263.54605,13543.58706,174000
0.98230868,0.187268941,-0.77138756,-0.636365643,-7.75E-12,1,3039900,0.1,3120000,79903.84426,6305.141547,6091.014193,92300
0.985384721,0.170343628,-0.885445648,-0.464742945,-3.45E-12,1,2645500,0.2,3120000,322821.8129,38359.16789,33219.01919,394400
0.988169158,0.153367906,-0.961904527,-0.273385589,8.44E-13,1,2131700,0.3,3120000,422358.9277,52923.49014,38517.58214,513800
0.990661168,0.136346798,-0.99751748,-0.070419297,-9.41E-12,1,1806400,0.4,3120000,266455.39,31946.31349,26898.29656,325300
0.992860014,0.119285341,-0.990772251,0.135537251,-5.11E-12,1,1699600,0.5,3120000,88078.05993,9966.051749,8755.888323,106800
0.994765044,0.102188584,-0.941955268,0.3357384,-8.12E-13,1,1576500,0.6,3120000,104210.7709,9450.962489,9438.266609,123100
0.996375695,0.085061586,-0.853139475,0.521682889,-1.11E-11,1,1396200,0.7,3120000,152522.2638,13743.77788,14033.95832,180300
0.997691491,0.067909416,-0.72809631,0.685474845,-6.77E-12,1,1307900,0.8,3120000,76441.05578,6031.895976,5827.048247,88300
0.998712041,0.05073715,-0.572135556,0.820159073,-2.47E-12,1,678400,0.9,3120000,515254.3895,61224.88892,53020.72155,629500
0.999437045,0.03354987,-0.391879868,0.920016396,-1.27E-11,1,100100,1,3120000,475379.8519,59567.25253,43352.89559,578300
0.999866286,0.016352661,-0.194983551,0.980806512,-8.42E-12,1,1289000,1,1300000,91002.74769,10910.65302,9186.599285,111100
0.999999639,-0.000849387,0.010192469,0.999948055,-4.12E-12,1,1040000,0.9,1300000,205350.533,23235.45773,20414.00929,249000
0.999837064,-0.018051184,0.21493568,0.976628206,1.74E-13,1,913600,0.8,1300000,107004.3984,9704.318917,9691.282692,126400
0.999378609,-0.035247639,0.410551949,0.91183721,-1.01E-11,1,3760300,0.7,3900000,158190.0351,14254.50063,14555.46426,187000
0.998624409,-0.052433663,0.588734705,0.808326324,-5.78E-12,1,3279500,0.6,3900000,416227.1757,32844.11761,31728.70665,480800
0.997574689,-0.06960417,0.741917668,0.670490995,-1.48E-12,1,2704000,1.5,3900000,471054.6484,55972.87303,48472.47856,575500
0.996229757,-0.08675408,0.863596136,0.504184206,-1.17E-11,1,2385200,0.4,3900000,262063.1105,32837.69688,23899.19266,318800
0.994590014,-0.103878317,0.948603206,0.316467941,-7.44E-12,1,2235000,0.3,3900000,123029.8173,14750.49581,12419.68688,150200
0.992655943,-0.120971813,0.99332917,0.115313309,-3.14E-12,1,2035900,0.2,3900000,164197.9563,18579.03467,16323.00904,199100
0.990428117,-0.13802951,0.995874804,-0.090737941,1.16E-12,1,1919300,0.1,3900000,98708.1713,8951.927102,8939.901597,116600
0.987907195,-0.15504636,0.956132011,-0.292936132,-9.09E-12,1,998000,0,3900000,779360.8521,70228.18949,71710.95839,921300
0.985093924,-0.172017328,0.875788412,-0.482695201,-4.79E-12,1,524500,1,3900000,409907.5868,32345.44445,31246.9688,473500
0.981989136,-0.188937391,0.758255687,-0.651957294,-4.96E-13,1,1643300,1,1200000,66463.31442,7897.475743,6839.209833,81200
0.978593749,-0.205801542,0.608524696,-0.793534935,-1.07E-11,1,1578000,1,1200000,53678.54803,6726.165641,4895.286325,65300
0.974908769,-0.22260479,0.432953558,-0.901416228,-6.45E-12,1,1493700,1,1200000,69050.68974,8278.740323,6970.569935,84300
0.970935285,-0.239342164,0.238997654,-0.971020145,-2.15E-12,1,1384200,1,1200000,90304.75245,10218.0025,8977.24505,109500
0.966674475,-0.256008709,0.03489305,-0.999391052,-1.24E-11,1,1329700,0,1200000,46137.18127,4184.219786,4178.598946,54500
0.962127598,-0.272599495,-0.170693239,-0.98532422,-8.11E-12,1,1225000,0,1200000,88569.50094,7980.99581,8149.503249,104700
0.957296001,-0.28910961,-0.369031279,-0.929416976,-3.81E-12,1,3961900,0,4000000,37484.68534,2957.883304,2857.43136,43300
0.952181113,-0.30553417,-0.551698923,-0.834043343,4.90E-13,1,3379900,0,4000000,476374.9876,56605.06013,49019.95225,582000
0.946784447,-0.321868313,-0.710939446,-0.703253229,-9.76E-12,1,2952500,0.1,4000000,351335.5502,44023.93867,32040.51111,427400
0.941107601,-0.338107206,-0.839990922,-0.542600453,-5.47E-12,1,2749600,0.2,4000000,166196.7372,19925.93608,16777.32669,202900
0.935152255,-0.354246044,-0.933373361,-0.358906909,-1.17E-12,1,2633800,0.3,4000000,95500.36835,10805.88757,9493.74408,115800
0.928920171,-0.370280051,-0.987121409,-0.159972887,-1.14E-11,1,2563200,0.4,4000000,59766.6972,5420.292053,5413.010744,70600
0.922413193,-0.386204481,-0.99895273,0.04575416,-7.12E-12,1,2383300,0.5,4000000,152183.8894,13713.28697,14002.82363,179900
0.915633247,-0.402014623,-0.968364924,0.24953832,-2.82E-12,1,2293000,0.6,4000000,78172.45002,6168.518762,5959.03122,90300
0.908582339,-0.417705797,-0.89665686,0.442726186,-1.31E-11,1,1785200,0.7,4000000,415641.2693,49388.40126,42770.32948,507800
0.901262556,-0.43327336,-0.786873519,0.617114305,-8.78E-12,1,1391700,0.8,4000000,323468.7389,40532.10076,29499.16032,393500
0.893676064,-0.448712705,-0.643676697,0.76529753,-4.48E-12,1,1261700,0.9,4000000,106483.8632,12766.74071,10749.3961,130000
0.885825109,-0.464019264,-0.473147047,0.880983468,-1.81E-13,1,2728700,1,3070000,284769.2331,32221.70102,28309.0659,345300
0.877712012,-0.479188506,-0.282525871,0.959259679,-1.04E-11,1,2587800,2,3070000,119279.4283,10817.5517,10803.02003,140900
0.869339176,-0.494215942,-0.07990763,0.996802273,-6.14E-12,1,2397700,0.9,3070000,160812.4368,14490.80519,14796.75805,190100
0.860709077,-0.509097127,0.126103777,0.992017055,-1.84E-12,1,2270500,0.8,3070000,110116.6738,8689.209153,8394.117068,127200
0.851824271,-0.523827655,0.326760363,0.945107224,-1.21E-11,1,1747400,0.7,3070000,428164.5293,50876.47243,44058.99832,523100
0.842687385,-0.538403167,0.513541529,0.85806474,-7.79E-12,1,884300,0.6,3070000,709493.9481,88902.8111,64703.24085,863100
0.833301125,-0.552819351,0.678515874,0.73458574,-3.49E-12,1,598500,0.5,3070000,234100.6777,28067.18843,23632.13389,285800
0.823668267,-0.56707194,0.814677993,0.579913586,8.05E-13,1,3016600,0.4,3300000,238998.3312,27042.71345,23758.95539,289800
0.813791663,-0.581156717,0.916245954,0.400616215,-9.45E-12,1,2904100,0.3,3300000,95237.30078,8637.150935,8625.548282,112500
0.803674235,-0.595069512,0.978906815,0.204307238,-5.15E-12,1,2796500,0.2,3300000,91022.71539,8202.054911,8375.2297,107600
0.793318977,-0.60880621,0.999999771,-0.000677359,-8.51E-13,1,2657000,0.1,3300000,120764.7484,9529.439283,9205.81235,139500
0.782728953,-0.622362745,0.978629138,-0.205633194,-1.11E-11,1,2156300,0,3300000,409829.8218,48697.85843,42172.31975,500700
0.771907297,-0.635735105,0.915702391,-0.401857103,-6.81E-12,1,1688100,0,3300000,384874.3674,48226.50464,35099.12799,468200
0.760857213,-0.648919334,0.813891626,-0.581016713,-2.51E-12,1,1408600,0,3300000,228940.3058,27448.49253,23111.20162,279500
0.749581969,-0.661911528,0.677520094,-0.735504264,-1.28E-11,1,1235100,1,3300000,143085.6123,16190.16834,14224.21933,173500
0.738084903,-0.674707845,0.512378622,-0.858759657,-8.46E-12,1,1092600,0,3300000,120633.9143,10940.39118,10925.69449,142500
0.726369417,-0.687304496,0.325479709,-0.945549025,-4.16E-12,1,1049800,0,3300000,36206.06151,3262.527418,3331.41107,42800
0.714438978,-0.699697754,0.124759757,-0.99218698,1.35E-13,1,941700,0,3300000,93581.85877,7384.461552,7133.679678,108100
0.702297115,-0.711883952,-0.081257943,-0.996693106,-1.01E-11,1,3269200,0,3600000,424317.5147,50419.35253,43663.13273,518400
0.689947424,-0.723859484,-0.283825139,-0.958876056,-5.82E-12,1,2729600,0,3600000,443567.2974,55580.9951,40451.70752,539600
0.677393557,-0.735620805,-0.474340097,-0.880341679,-1.52E-12,1,2267400,0,3600000,378591.089,45390.67351,38218.23753,462200
0.664639231,-0.747164435,-0.644712869,-0.764424827,-1.18E-11,1,2152000,0,3600000,95170.48797,10768.56153,9460.950491,115400
0.651688219,-0.758486958,-0.787708813,-0.616047747,-7.48E-12,1,2049400,0.1,3600000,86856.41831,7877.081652,7866.500033,102600
0.638544354,-0.769585024,-0.897255806,-0.441511062,-3.18E-12,1,1975500,0.2,3600000,62514.67163,5633.195705,5752.132666,73900
0.625211525,-0.780455347,-0.96870209,-0.24822623,1.12E-12,1,1851900,0.3,3600000,107000.1641,8443.288139,8156.547717,123600
0.611693679,-0.791094712,-0.999013797,-0.044400818,-9.13E-12,1,1471700,0.4,3600000,311198.918,36978.08223,32022.99974,380200
0.597994816,-0.801499969,-0.986903785,0.161310012,-4.83E-12,1,1114700,0.5,3600000,293464.65,36772.45228,26762.89767,357000
0.584118989,-0.81166804,-0.932886286,0.360171038,-5.36E-13,1,954200,0.6,3600000,131466.6157,15762.01449,13271.3698,160500
0.570070304,-0.821595915,-0.83925508,0.543737906,-1.08E-11,1,733700,0.7,3600000,181846.5563,20575.97763,18077.46606,220500
0.55585292,-0.831280657,-0.709986083,0.704215707,-6.49E-12,1,680700,1.8,3600000,44867.35059,4069.057774,4063.591635,53000
0.541471043,-0.8407194,-0.550568523,0.834789975,-2.19E-12,1,3259400,0.9,3300000,152776.0446,13766.64607,14057.30933,180600
0.52692893,-0.84990935,-0.367771842,0.929916056,-1.24E-11,1,2972200,1,3300000,248628.2131,19619.03199,18952.75489,287200
0.512230884,-0.858847787,-0.169358246,0.985554557,-8.15E-12,1,2426500,1,3300000,446662.9394,53074.53834,45962.52224,545700
0.497381253,-0.867532068,0.036246911,0.999342865,-3.85E-12,1,1939900,0.9,3300000,399999.7163,50121.77949,36478.50422,486600
0.482384434,-0.875959621,0.240312893,0.970695479,4.50E-13,1,1723400,0.8,3300000,177336.5875,21261.53357,17901.87889,216500
0.467244864,-0.884127953,0.434174326,0.900828871,-9.80E-12,1,1642100,0.7,3300000,67048.18607,7586.516922,6665.29701,81300
0.451967022,-0.892034647,0.609599154,0.792709828,-5.50E-12,1,988400,0.6,3300000,553392.2091,50187.60503,50120.18589,653700
0.436555431,-0.899677362,0.759138209,0.650929473,-1.21E-12,1,774500,0.5,3300000,180945.714,16305.01436,16649.27168,213900
0.421014651,-0.907053837,0.876441525,0.481508311,-1.15E-11,1,697400,0.4,3300000,66745.24802,5266.808378,5087.9436,77100
0.40534928,-0.91416189,0.95652798,0.291640574,-7.16E-12,1,4144600,0.3,4380000,374715.583,44525.42358,38558.99337,457800
0.389563956,-0.920999416,0.995996815,0.089388728,-2.86E-12,1,3636700,0.2,4380000,417508.9517,52315.76614,38075.28215,507900
0.373663348,-0.927564393,0.993172042,-0.116658884,-1.31E-11,1,3444800,0.1,4380000,157186.5642,18845.6734,15867.7624,191900
0.357652163,-0.933854877,0.948173611,-0.317752741,-8.82E-12,1,3296200,0,4380000,122550.559,13866.62257,12182.8184,148600
0.341535138,-0.939869007,0.862912316,-0.505353673,-4.52E-12,1,3084700,0,4380000,179046.1255,16237.84376,16216.03077,211500
0.325317044,-0.945605003,0.74100866,-0.671495469,-2.20E-13,1,2945000,0,4380000,118177.2615,10648.95047,10873.788,139700
0.309002679,-0.951061168,0.587639111,-0.809123152,-1.05E-11,1,2872100,0,4380000,63109.32011,4979.900529,4810.779357,72900
0.292596871,-0.956235887,0.40931629,-0.912392555,-6.17E-12,1,2258800,0,4380000,501994.4672,59649.28415,51656.24866,613300
0.276104476,-0.961127629,0.213612427,-0.976918487,-1.88E-12,1,1830600,0,4380000,351993.1741,44106.34192,32100.48399,428200
0.259530373,-0.965734946,0.008837812,-0.999960946,-1.21E-11,1,1708600,0,4380000,99931.01007,11981.09513,10087.8948,122000
0.242879469,-0.970056475,-0.196312089,-0.980541465,-7.83E-12,1,1574600,0,4380000,110509.9254,12504.22223,10985.85239,134000
0.226156689,-0.974090936,-0.393125872,-0.919484665,-3.53E-12,1,1313600,0,4380000,220950.5378,20038.19017,20011.27201,261000
0.209366983,-0.977837137,-0.573246116,-0.819383238,7.66E-13,1,1092600,0,4380000,186951.8597,16846.22802,17201.9123,221000
0.19251532,-0.981293968,-0.729024267,-0.684487851,-9.49E-12,1,1008600,0.1,4380000,72718.55816,5738.156988,5543.284856,84000
0.175606686,-0.984460407,-0.853845425,-0.520526647,-5.19E-12,1,3746600,0.2,4270000,430456.3677,51148.79918,44294.83314,525900
0.158646084,-0.987335515,-0.942409234,-0.334462008,-8.90E-13,1,3252600,0.3,4270000,406082.737,50884.0096,37033.25336,494000
0.141638535,-0.989918444,-0.990954957,-0.13419491,-1.11E-11,1,3037900,0.4,4270000,175862.1956,21084.76331,17753.0411,214700
0.124589072,-0.992208427,-0.997421166,0.071770588,-6.85E-12,1,2904600,0.5,4270000,109932.6347,12438.90167,10928.46361,133300
0.107502738,-0.994204788,-0.961533284,0.274688447,-2.55E-12,1,2733500,0.6,4270000,144845.3526,13136.14689,13118.50054,171100
0.090384592,-0.995906936,-0.88481524,0.465942048,-1.28E-11,1,2607900,0.7,4270000,106249.5637,9574.145881,9776.290431,125600
0.073239698,-0.997314367,-0.770524756,0.637410072,-8.50E-12,1,2469500,0.8,4270000,119812.4815,9454.296751,9133.221715,138400
0.056073131,-0.998426664,-0.62351502,0.781811371,-4.20E-12,1,1808700,0.9,4270000,540873.8691,64269.11294,55657.01795,660800
0.03888997,-0.999243499,-0.450028592,0.893014147,9.56E-14,1,1239200,1,4270000,468145.9894,58660.81673,42693.19391,569500
0.0216953,-0.999764629,-0.257432331,0.966296329,-1.02E-11,1,953200,1,4270000,234264.499,28086.82956,23648.67143,286000
0.00449421,-0.999989901,-0.053904567,0.998546092,-5.86E-12,1,811200,0.9,4270000,117107.5329,13250.74296,11641.72417,142000
-0.012708209,-0.999919247,0.151912179,0.988393995,-1.56E-12,1,604700,0.8,4270000,174813.3565,15853.97038,15832.67307,206500
-0.029906869,-0.99955269,0.351278187,0.936271133,-1.18E-11,1,3168900,0.7,3300000,123168.284,11098.6914,11333.02458,145600
-0.047096677,-0.998890336,0.53572766,0.844390831,-7.52E-12,1,2812000,0.6,3300000,308967.3025,24380.33606,23552.36149,356900
-0.064272549,-0.997932382,0.697428208,0.716654655,-3.22E-12,1,2329400,0.5,3300000,395014.7234,46937.46051,40647.81608,482600
-0.081429401,-0.996679112,0.829513446,0.558486744,1.08E-12,1,1769500,0.4,3300000,460254.503,57671.97768,41973.51935,559900
-0.098562155,-0.995130897,0.926374558,0.376603477,-9.17E-12,1,1570400,0.3,3300000,163084.132,19552.75443,16463.11357,199100
-0.115665742,-0.993288194,0.983898473,0.178728271,-4.87E-12,1,1425700,0.2,3300000,119334.2254,13502.69371,11863.0809,144700
-0.1327351,-0.991151549,0.999642519,-0.02673638,-5.75E-13,1,1367800,0.1,3300000,49015.46414,4445.253681,4439.282183,57900
-0.149765178,-0.988721594,0.972938147,-0.231065709,-1.08E-11,1,1302200,0,3300000,55493.40269,5000.509314,5106.087996,65600
-0.166750937,-0.985999049,0.904919321,-0.425583156,-6.53E-12,1,1179100,0,3300000,106567.3156,8409.132443,8123.551974,123100
-0.183687349,-0.982984719,0.798474365,-0.602028811,-2.23E-12,1,768000,0,3300000,336490.9921,39983.40244,34625.60545,411100
-0.200569403,-0.979679496,0.658123314,-0.752910157,-1.25E-11,1,587000,0,3300000,148787.3996,18643.73631,13568.86409,181000
-0.217392102,-0.976084358,0.489825979,-0.871820228,-8.19E-12,1,354000,0,3300000,190851.8471,22881.92758,19266.22532,233000
-0.23415047,-0.972200369,0.300728871,-0.953709676,-3.89E-12,1,2928700,0,3100000,148693.5787,16824.71096,14781.71034,180300
-0.250839545,-0.968028679,0.098861733,-0.99510118,4.11E-13,1,2833100,0,3100000,80930.54182,7339.658928,7329.799251,95600
-0.26745439,-0.963570521,-0.10720343,-0.994237107,-9.84E-12,1,2753100,0,3100000,67674.88133,6098.18209,6226.93658,80000
-0.283990088,-0.958827216,-0.308716349,-0.951154149,-5.54E-12,1,2675000,0,3100000,67610.94514,5335.119771,5153.935086,78100
-0.300441745,-0.953800167,-0.497120062,-0.867681764,-1.25E-12,1,1855900,0,3100000,670444.5917,79665.30026,68990.10806,819100
-0.316804492,-0.948490861,-0.664414268,-0.74736449,-1.15E-11,1,1268600,0,3100000,482778.1204,60494.28914,44027.59049,587300
-0.333073489,-0.94290087,-0.803495053,-0.59531143,-7.20E-12,1,993800,0.1,3100000,225090.5046,26986.92575,22722.56961,274800
-0.349243919,-0.937031848,-0.908456548,-0.417979305,-2.90E-12,1,874500,0.2,3100000,98386.82162,11132.49039,9780.687986,119300
-0.365310999,-0.930885532,-0.97484171,-0.222898275,-1.32E-11,1,812900,0.3,3100000,52147.71314,4729.319978,4722.966882,61600
-0.381269972,-0.924463741,-0.999831585,-0.018352182,-8.86E-12,1,699100,0.4,3100000,96267.51869,8674.664023,8857.817285,113800
